Text,Particle,P n,P /100,MB n,MB /100,E n,E /100,P+E /100,Ratio PE:MB
"Hipp., Flat.",δέ,16,5.33,111,4.52,6,7.32,5.76,1.28
"Hipp., Flat.",οὖν,2,0.67,28,1.14,1,1.22,0.79,0.69
"Hipp., Flat.",καί,9,3.00,108,4.39,3,3.66,3.14,0.71
"Hipp., Flat.",τε,4,1.33,16,0.65,0,0.00,1.05,1.61
"Hipp., Flat.",ἀλλά,1,0.33,9,0.37,0,0.00,0.26,0.71
"Hipp., Flat.",ἤ,1,0.33,18,0.73,0,0.00,0.26,0.36
"Hipp., Flat.",ἔτι,0,0.00,2,0.08,0,0.00,0.00,0.00
"Hipp., Flat.",τοίνυν,0,0.00,2,0.08,0,0.00,0.00,0.00
"Hipp., Flat.",καίτοι,0,0.00,0,0.00,0,0.00,0.00,—
"Hipp., Flat.",ὥστε,0,0.00,3,0.12,0,0.00,0.00,0.00
"Hipp., Flat.",ἔπειτα,0,0.00,1,0.04,0,0.00,0.00,0.00
"Hipp., Flat.",χωρίς,0,0.00,0,0.00,0,0.00,0.00,—
"Hipp., Flat.",ἄρα,1,0.33,1,0.04,0,0.00,0.26,6.43
"Hipp., Flat.",δή,2,0.67,7,0.28,0,0.00,0.52,1.84
"Antisth., Ajax",γάρ,1,1.69,5,1.82,1,0.59,0.88,0.48
"Antisth., Ajax",μέν,2,3.39,7,2.55,2,1.18,1.75,0.69
"Antisth., Ajax",δέ,4,6.78,8,2.92,3,1.78,3.07,1.05
"Antisth., Ajax",οὖν,0,0.00,2,0.73,1,0.59,0.44,0.60
"Antisth., Ajax",καί,2,3.39,9,3.28,12,7.10,6.14,1.87
"Antisth., Ajax",τε,0,0.00,3,1.09,0,0.00,0.00,0.00
"Antisth., Ajax",ἀλλά,0,0.00,2,0.73,7,4.14,3.07,4.21
"Antisth., Ajax",ἤ,0,0.00,0,0.00,4,2.37,1.75,—
"Antisth., Ajax",ἔτι,0,0.00,0,0.00,0,0.00,0.00,—
"Antisth., Ajax",τοίνυν,0,0.00,0,0.00,0,0.00,0.00,—
"Antisth., Ajax",καίτοι,1,1.69,0,0.00,0,0.00,0.44,—
"Antisth., Ajax",ὥστε,0,0.00,0,0.00,0,0.00,0.00,—
"Antisth., Ajax",ἔπειτα,0,0.00,1,0.36,0,0.00,0.00,0.00
"Antisth., Ajax",χωρίς,0,0.00,0,0.00,0,0.00,0.00,—
"Antisth., Ajax",ἄρα,0,0.00,0,0.00,0,0.00,0.00,—
"Antisth., Ajax",δή,0,0.00,0,0.00,0,0.00,0.00,—
"Antisth., Od.",γάρ,2,3.28,9,1.10,0,0.00,1.87,1.70
"Antisth., Od.",μέν,1,1.64,15,1.84,0,0.00,0.93,0.51
"Antisth., Od.",δέ,1,1.64,19,2.33,2,4.35,2.80,1.21
